"player","pos","age","contract_type","cap_hit","cap_hit_pct_league_cap","team","year"
"Kevin Garnett","PF",35,"VET-EXT","$21,247,044","36.61%","boston celtics",2011
"Paul Pierce","SF",34,"","$15,333,334","26.42%","boston celtics",2011
"Rajon Rondo","PG",25,"EXT","$10,045,455","17.31%","boston celtics",2011
"Ray Allen","SG",36,"","$10,000,000","17.23%","boston celtics",2011
"Jermaine O'Neal","C",33,"","$6,226,000","10.73%","boston celtics",2011
"Brandon Bass","PF",26,"","$3,420,732","5.89%","boston celtics",2011
"Chris Wilcox","PF",29,"","$3,000,000","5.17%","boston celtics",2011
"Avery Bradley","PG",21,"RK","$1,524,480","2.63%","boston celtics",2011
"JaJuan Johnson","PF",22,"RK","$1,042,320","1.80%","boston celtics",2011
"Sasha Pavlovic","SG",28,"","$854,389","1.47%","boston celtics",2011
"Mickael Pietrus","SF",29,"","$854,389","1.47%","boston celtics",2011
"Marquis Daniels","SF",31,"","$854,389","1.47%","boston celtics",2011
"Greg Stiemsma","C",26,"","$613,474","1.06%","boston celtics",2011
"E'Twaun Moore","SG",22,"RK","$381,193","0.66%","boston celtics",2011
"Carlos Arroyo","PG",32,"","$358,292","0.62%","boston celtics",2011
"Ryan Hollins","C",27,"","$248,048","0.43%","boston celtics",2011
"Sean Williams","PF",25,"","$49,966","0.09%","boston celtics",2011
"Paul Pierce","SF",35,"","$16,790,345","28.93%","boston celtics",2012
"Kevin Garnett","PF",36,"","$11,566,265","19.93%","boston celtics",2012
"Rajon Rondo","PG",26,"EXT","$11,000,000","18.95%","boston celtics",2012
"Jeff Green","PF",26,"","$8,100,000","13.95%","boston celtics",2012
"Brandon Bass","PF",27,"","$6,000,000","10.34%","boston celtics",2012
"Jason Terry","SG",35,"","$5,000,000","8.61%","boston celtics",2012
"Courtney Lee","SG",27,"S&T","$5,000,000","8.61%","boston celtics",2012
"Avery Bradley","PG",22,"RK","$1,630,800","2.81%","boston celtics",2012
"Jared Sullinger","PF",20,"RK","$1,306,920","2.25%","boston celtics",2012
"Fab Melo","C",22,"RK","$1,254,720","2.16%","boston celtics",2012
"Jordan Crawford","SG",24,"RK","$1,198,680","2.07%","boston celtics",2012
"Chris Wilcox","PF",30,"","$854,389","1.47%","boston celtics",2012
"Terrence Williams","SG",25,"","$249,916","0.43%","boston celtics",2012
"Shavlik Randolph","PF",29,"","$163,500","0.28%","boston celtics",2012
"D.J. White","PF",26,"","$145,749","0.25%","boston celtics",2012
"Kris Humphries","PF",28,"","$12,000,000","20.45%","boston celtics",2013
"Rajon Rondo","PG",27,"EXT","$11,954,545","20.37%","boston celtics",2013
"Gerald Wallace","SF",31,"","$10,105,885","17.22%","boston celtics",2013
"Jeff Green","PF",27,"","$8,700,000","14.83%","boston celtics",2013
"Brandon Bass","PF",28,"","$6,450,000","10.99%","boston celtics",2013
"Keith Bogans","SF",33,"S&T","$5,058,198","8.62%","boston celtics",2013
"Joel Anthony","C",31,"","$3,800,000","6.48%","boston celtics",2013
"Jerryd Bayless","PG",25,"","$3,135,000","5.34%","boston celtics",2013
"Avery Bradley","PG",23,"RK","$2,511,432","4.28%","boston celtics",2013
"Vitor Faverani","C",25,"","$2,000,000","3.41%","boston celtics",2013
"Kelly Olynyk","PF",22,"RK","$1,986,360","3.39%","boston celtics",2013
"Jared Sullinger","PF",21,"RK","$1,365,720","2.33%","boston celtics",2013
"Phil Pressey","PG",22,"RK","$490,180","0.84%","boston celtics",2013
"Christapher Johnson","SF",23,"","$320,189","0.55%","boston celtics",2013
"Chris Babb","SG",23,"","$77,852","0.13%","boston celtics",2013
"Gerald Wallace","SF",32,"","$10,105,855","16.02%","boston celtics",2014
"Isaiah Thomas","PG",25,"S&T","$7,238,606","11.48%","boston celtics",2014
"Avery Bradley","PG",24,"","$7,191,011","11.40%","boston celtics",2014
"Brandon Bass","PF",29,"","$6,900,000","10.94%","boston celtics",2014
"Jonas Jerebko","PF",27,"","$4,500,000","7.14%","boston celtics",2014
"Marcus Smart","PG",20,"RK","$3,283,320","5.21%","boston celtics",2014
"Evan Turner","SF",26,"","$3,278,000","5.20%","boston celtics",2014
"Kelly Olynyk","PF",23,"RK","$2,075,760","3.29%","boston celtics",2014
"Luigi Datome","SF",27,"RK","$1,750,000","2.77%","boston celtics",2014
"Tyler Zeller","C",25,"RK","$1,703,760","2.70%","boston celtics",2014
"James Young","SG",19,"RK","$1,674,480","2.66%","boston celtics",2014
"Jared Sullinger","PF",22,"RK","$1,424,520","2.26%","boston celtics",2014
"Jae Crowder","SF",24,"RK","$915,243","1.45%","boston celtics",2014
"Phil Pressey","PG",23,"RK","$816,482","1.29%","boston celtics",2014
"Chris Babb","SG",24,"","$48,028","0.08%","boston celtics",2014
"Amir Johnson","C",28,"","$12,000,000","17.14%","boston celtics",2015
"Avery Bradley","PG",25,"","$7,730,337","11.04%","boston celtics",2015
"Isaiah Thomas","PG",26,"S&T","$6,912,869","9.88%","boston celtics",2015
"Jae Crowder","SF",25,"","$6,796,117","9.71%","boston celtics",2015
"Jonas Jerebko","PF",28,"","$5,000,000","7.14%","boston celtics",2015
"Marcus Smart","PG",21,"RK","$3,431,040","4.90%","boston celtics",2015
"Evan Turner","SF",27,"","$3,425,510","4.89%","boston celtics",2015
"Tyler Zeller","C",26,"RK","$2,616,975","3.74%","boston celtics",2015
"Jared Sullinger","PF",23,"RK","$2,269,260","3.24%","boston celtics",2015
"Kelly Olynyk","PF",24,"RK","$2,165,160","3.09%","boston celtics",2015
"Terry Rozier","PG",21,"RK","$1,824,360","2.61%","boston celtics",2015
"James Young","SG",20,"RK","$1,749,840","2.50%","boston celtics",2015
"Jordan Mickey","PF",21,"RK","$1,170,960","1.67%","boston celtics",2015
"R.J. Hunter","SG",22,"RK","$1,148,640","1.64%","boston celtics",2015
"John Holland","SF",27,"","$9,266","0.01%","boston celtics",2015
"Al Horford","C",30,"Maximum","$26,540,100","28.19%","boston celtics",2016
"Amir Johnson","C",29,"","$12,000,000","12.75%","boston celtics",2016
"Avery Bradley","PG",26,"","$8,269,663","8.78%","boston celtics",2016
"Tyler Zeller","C",27,"","$8,000,000","8.50%","boston celtics",2016
"Isaiah Thomas","PG",27,"S&T","$6,587,132","7.00%","boston celtics",2016
"Jae Crowder","SF",26,"","$6,286,408","6.68%","boston celtics",2016
"Jonas Jerebko","PF",29,"","$5,000,000","5.31%","boston celtics",2016
"Jaylen Brown","SF",20,"RK","$4,743,000","5.04%","boston celtics",2016
"Marcus Smart","PG",22,"RK","$3,578,880","3.80%","boston celtics",2016
"Kelly Olynyk","PF",25,"RK","$3,094,014","3.29%","boston celtics",2016
"Terry Rozier","PG",22,"RK","$1,906,440","2.03%","boston celtics",2016
"James Young","SG",21,"RK","$1,825,200","1.94%","boston celtics",2016
"Demetrius Jackson","PG",22,"RK","$1,450,000","1.54%","boston celtics",2016
"Jordan Mickey","PF",22,"RK","$1,223,653","1.30%","boston celtics",2016
"Gerald Green","SG",31,"","$980,431","1.04%","boston celtics",2016
"Gordon Hayward","SF",27,"Maximum","$29,727,900","30.00%","boston celtics",2017
"Al Horford","C",31,"Maximum","$27,734,405","27.99%","boston celtics",2017
"Kyrie Irving","PG",25,"DRK-EXT","$18,868,625","19.04%","boston celtics",2017
"Jayson Tatum","PF",19,"RK","$5,645,400","5.70%","boston celtics",2017
"Greg Monroe","C",27,"","$5,000,000","5.05%","boston celtics",2017
"Marcus Morris Sr.","SF",28,"RK-EXT","$5,000,000","5.05%","boston celtics",2017
"Jaylen Brown","SF",21,"RK","$4,956,480","5.00%","boston celtics",2017
"Marcus Smart","PG",23,"RK","$4,538,020","4.58%","boston celtics",2017
"Aron Baynes","C",31,"","$4,328,000","4.37%","boston celtics",2017
"Guerschon Yabusele","PF",22,"RK","$2,247,480","2.27%","boston celtics",2017
"Terry Rozier","PG",23,"RK","$1,988,520","2.01%","boston celtics",2017
"Shane Larkin","PG",25,"","$1,471,382","1.48%","boston celtics",2017
"Semi Ojeleye","PF",23,"RK","$1,291,892","1.30%","boston celtics",2017
"Abdel Nader","SF",24,"","$1,167,333","1.18%","boston celtics",2017
"Daniel Theis","C",25,"RK","$815,615","0.82%","boston celtics",2017
